pattern_id,amount,amount_unit,amount_unit_concept_id,numerator,numerator_unit,denominator,denominator_unit,numerator_unit_concept_id,denominator_unit_concept_id,number_concepts,number_ingredients,valid,pattern_name,unit
NA,NA,NA,NA,numeric,limit of flocculation unit,NA,milliliter,45744814,8587,114,3,FALSE,NA,NA
NA,NA,NA,NA,numeric,milligram,numeric,square centimeter,8576,9483,229,12,FALSE,NA,NA
NA,NA,NA,NA,numeric,milligram,numeric,unit,8576,8510,23,2,FALSE,NA,NA
NA,NA,NA,NA,numeric,milligram,NA,square centimeter,8576,9483,176,18,FALSE,NA,NA
NA,NA,NA,NA,numeric,milligram,NA,unit,8576,8510,37,5,FALSE,NA,NA
NA,NA,NA,NA,numeric,percent,numeric,NA,8554,NA,626,5,FALSE,NA,NA
NA,NA,NA,NA,numeric,percent,NA,NA,8554,NA,883,14,FALSE,NA,NA
NA,NA,NA,NA,numeric,plaque forming unit,numeric,milliliter,9379,8587,167,16,FALSE,NA,NA
NA,NA,NA,NA,numeric,plaque forming unit,NA,milliliter,9379,8587,179,17,FALSE,NA,NA
NA,NA,NA,NA,numeric,protein nitrogen unit,NA,milliliter,45744816,8587,4,2,FALSE,NA,NA
NA,NA,NA,NA,numeric,unit,numeric,Actuation,8510,45744809,86,7,FALSE,NA,NA
NA,NA,NA,NA,numeric,unit,numeric,hour,8510,8505,3,2,FALSE,NA,NA
NA,NA,NA,NA,numeric,unit,numeric,milligram,8510,8576,7041,56,FALSE,NA,NA
NA,NA,NA,NA,numeric,unit,numeric,milliliter,8510,8587,27026,297,FALSE,NA,NA
NA,NA,NA,NA,numeric,unit,numeric,square centimeter,8510,9483,79,3,FALSE,NA,NA
NA,NA,NA,NA,numeric,unit,numeric,unit,8510,8510,23,4,FALSE,NA,NA
NA,NA,NA,NA,numeric,unit,NA,Actuation,8510,45744809,87,7,FALSE,NA,NA
NA,NA,NA,NA,numeric,unit,NA,milligram,8510,8576,4502,67,FALSE,NA,NA
NA,NA,NA,NA,numeric,unit,NA,milliliter,8510,8587,20908,617,FALSE,NA,NA
NA,NA,NA,NA,numeric,unit,NA,square centimeter,8510,9483,63,3,FALSE,NA,NA
NA,NA,NA,NA,numeric,unit,NA,unit,8510,8510,17,4,FALSE,NA,NA
NA,NA,NA,NA,numeric,Vector-genome,numeric,milliliter,32018,8587,474,2,FALSE,NA,NA
NA,NA,NA,NA,numeric,Vector-genome,NA,milliliter,32018,8587,32,2,FALSE,NA,NA
NA,NA,NA,NA,numeric,NA,NA,NA,NA,NA,76,5,FALSE,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,FALSE,NA,NA
